IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"44.236.74.40","gcampaign.gene.com","","gcampaign.gene.com",""
"44.239.46.173","genentechone.com","","genentechone.com|*.gene.com",""
"44.239.130.42","gcampaign.gene.com","","gcampaign.gene.com",""
"54.193.66.173","*.gene.com","","*.gene.com|gene.com",""
"54.193.72.34","*.gene.com","","*.gene.com|gene.com",""
"54.193.73.95","*.gene.com","","*.gene.com|gene.com",""
"52.9.58.45","*.gene.com","","*.gene.com|gene.com",""
"52.9.69.33","*.gene.com","","*.gene.com|gene.com",""
"52.9.75.192","*.gene.com","","*.gene.com|gene.com",""
"54.164.2.107","nutropin.staging.atp.gene.com","","nutropin.staging.atp.gene.com|*.nutropin.staging.atp.gene.com",""
"54.211.207.107","atp.gene.com","","atp.gene.com|*.atp.gene.com",""
"35.238.132.90","ecd.gene.com","Genentech","ecd.gene.com",""
"35.239.199.92","mx.gene.com","","mx.gene.com|www.mx.gene.com",""
"34.82.32.213","apsuat.gene.com","","apsuat.gene.com",""
"34.82.94.161","apstableauuat.gene.com","","apstableauuat.gene.com",""
"34.82.214.36","apstableau.gene.com","","apstableau.gene.com",""
"54.67.4.72","*.gene.com","","*.gene.com|gene.com",""
"23.21.243.117","*.search.atp.gene.com","","*.search.atp.gene.com",""
"34.223.148.122","ringthatbellgame.gene.com","","ringthatbellgame.gene.com",""
"35.81.188.118","genentechone.com","","genentechone.com|*.gene.com",""
"35.85.131.181","stagephc.gene.com","","stagephc.gene.com",""
"52.13.105.126","drugdevelopmentfoundations.gene.com","","drugdevelopmentfoundations.gene.com",""
"54.218.12.186","genentechone.com","","genentechone.com|*.gene.com",""
"34.234.161.216","atp.gene.com","","atp.gene.com|*.atp.gene.com",""
"34.234.239.140","*.search.atp.gene.com","","*.search.atp.gene.com",""
"44.242.99.170","gcampaign.gene.com","","gcampaign.gene.com",""
"54.173.66.225","staging.atp.gene.com","","staging.atp.gene.com|*.staging.atp.gene.com",""
"54.151.77.249","*.gene.com","","*.gene.com|gene.com",""
"100.20.7.74","c2d2.gene.com","","c2d2.gene.com",""
"100.20.137.177","stagephc.gene.com","","stagephc.gene.com",""
"100.21.6.120","stagephc.gene.com","","stagephc.gene.com",""
"54.214.211.222","nonclinicalediting.gene.com","","nonclinicalediting.gene.com",""
"34.217.61.235","wendo.gene.com","","wendo.gene.com|www.wendo.gene.com",""
"34.208.156.248","nonclinicalediting.gene.com","","nonclinicalediting.gene.com",""
"54.81.81.49","atp.gene.com","","atp.gene.com|*.atp.gene.com",""
"52.86.25.0","staging.atp.gene.com","","staging.atp.gene.com|*.staging.atp.gene.com",""
"54.203.128.248","drugdevelopmentfoundations.gene.com","","drugdevelopmentfoundations.gene.com",""
"52.36.145.102","nonclinicalediting.gene.com","","nonclinicalediting.gene.com",""
"52.36.209.67","c2d2.gene.com","","c2d2.gene.com",""
"52.38.171.117","drugdevelopmentfoundations.gene.com","","drugdevelopmentfoundations.gene.com",""
"18.205.174.195","*.staging.atp.gene.com","","*.staging.atp.gene.com|staging.atp.gene.com",""
