IP Address,Common Name
3.211.210.64:443,atp.gene.com|*.atp.gene.com
13.36.117.44:443,stage2-aem.gene.com
13.38.178.249:443,stage2-aem.gene.com
15.237.205.4:443,stage2-aem.gene.com
18.235.4.6:443,atp.gene.com|*.atp.gene.com
18.235.165.9:443,*.staging.atp.gene.com|staging.atp.gene.com
34.201.194.218:443,*.search.staging.atp.gene.com
34.212.115.30:443,ringthatbellgame.gene.com
34.215.66.57:443,stagephc.gene.com
34.217.61.235:443,wendo.gene.com|www.wendo.gene.com
34.223.14.52:443,stagephc.gene.com
34.234.155.23:443,access-solutions.atp.gene.com|*.access-solutions.atp.gene.com
35.80.141.182:443,nonclinicalediting.gene.com
35.81.33.18:443,nonclinicalediting.gene.com
35.155.253.243:443,workplaceinsights-dev.gene.com
35.166.8.103:443,*.gene.com
35.168.154.146:443,*.search.atp.gene.com
44.194.228.206:443,personalizedlearning.gene.com
44.195.96.160:443,*.search.staging.atp.gene.com
44.212.148.89:443,*.search.atp.gene.com
44.218.127.240:443,*.search.atp.gene.com
44.225.254.170:443,drugdevelopmentfoundations.gene.com
44.228.101.60:443,c2d2.gene.com
44.231.3.24:443,nonclinicalediting.gene.com
44.231.68.148:443,c2d2.gene.com
44.232.241.30:443,*.gene.com
44.233.226.130:443,*.gene.com
44.237.61.241:443,ringthatbellgame.gene.com
44.240.17.11:443,gcampaign.gene.com
44.240.146.152:443,workplaceinsights.gene.com
52.8.160.99:443,*.gene.com
52.9.37.255:443,*.gene.com
52.9.251.25:443,*.gene.com
52.10.195.47:443,ringthatbellgame.gene.com
52.10.204.97:443,c2d2.gene.com
52.24.51.164:443,stagephc.gene.com
52.24.76.161:443,*.gene.com
52.27.37.11:443,gcampaign.gene.com
52.27.123.119:443,gcampaign.gene.com
52.32.232.46:443,*.gene.com
52.34.90.220:443,ringthatbellgame.gene.com
52.34.243.235:443,workplaceinsights.gene.com
52.37.111.178:443,drugdevelopmentfoundations.gene.com
52.41.173.167:443,c2d2.gene.com
52.47.66.242:443,stage2-aem.gene.com
52.53.117.97:443,*.gene.com
52.71.226.230:443,nutropin.staging.atp.gene.com|*.nutropin.staging.atp.gene.com
52.89.136.52:443,drugdevelopmentfoundations.gene.com
52.89.93.230:443,stagephc.gene.com
54.67.4.72:443,*.gene.com
54.67.35.248:443,aem.gene.com
54.67.69.117:443,*.gene.com
54.67.103.169:443,*.gene.com
54.67.99.60:443,aem.gene.com
54.69.49.235:443,nonclinicalediting.gene.com
54.83.22.92:443,personalizedlearning.gene.com
54.88.142.242:443,*.staging.atp.gene.com|staging.atp.gene.com
54.147.127.30:443,nutropin.atp.gene.com|*.nutropin.atp.gene.com
54.149.165.83:443,drugdevelopmentfoundations.gene.com
54.160.64.66:443,atp.gene.com|*.atp.gene.com
54.164.219.138:443,staging.atp.gene.com|*.staging.atp.gene.com
54.165.196.88:443,staging.atp.gene.com|*.staging.atp.gene.com
54.176.194.41:443,*.gene.com
54.176.194.165:443,*.gene.com
54.177.189.209:443,*.gene.com
54.177.235.123:443,*.gene.com
54.183.242.69:443,*.gene.com
54.183.249.103:443,*.gene.com
54.193.25.122:443,*.gene.com
54.204.90.50:443,nutropin.staging.atp.gene.com|*.nutropin.staging.atp.gene.com
54.219.128.22:443,*.gene.com
54.221.125.94:443,nutropin.atp.gene.com|*.nutropin.atp.gene.com
54.241.88.25:443,*.gene.com
100.21.112.121:443,*.gene.com
107.21.247.5:443,access-solutions.atp.gene.com|*.access-solutions.atp.gene.com
107.23.80.96:443,*.search.atp.gene.com34.70.164.237:443,gcast.gene.com|www.gcast.gene.com
34.82.32.213:443,apsuat.gene.com
34.82.94.161:443,apstableauuat.gene.com
34.82.214.36:443,apstableau.gene.com
34.98.108.42:443,ecd.gene.com
34.102.182.23:443,apstableau.gene.com
34.107.160.73:443,learn.gene.com
34.134.61.222:443,learn-uat.gene.com|www.learn-uat.gene.com
34.134.255.167:443,learn-qa.gene.com|www.learn-qa.gene.com
34.136.56.138:443,learn-dev.gene.com|www.learn-dev.gene.com
34.168.88.89:443,apstableau.gene.com
34.168.191.62:443,aps.gene.com
34.168.205.204:443,apsweb.gene.com
35.184.6.99:443,ecdportal-dev.gene.com|www.ecdportal-dev.gene.com
35.192.17.111:443,ecdportal-uat.gene.com|www.ecdportal-uat.gene.com
35.193.147.203:443,gcast-qa.gene.com|www.gcast-qa.gene.com
35.193.170.4:443,airs-dev.gene.com|www.airs-dev.gene.com
35.198.20.79:443,www.hdkr-qa.gene.com|hdkr-qa.gene.com
35.199.185.7:443,apswebuat.gene.com
35.201.114.120:443,hcoaitool.gene.com
35.223.90.41:443,airs-uat.gene.com|www.airs-uat.gene.com
35.224.108.107:443,gcast-dev.gene.com|www.gcast-dev.gene.com
35.225.24.180:443,sitealliance.gene.com|www.sitealliance.gene.com
35.227.208.13:443,www.datacatalog.gene.com|datacatalog.gene.com
35.227.237.157:443,apstableauuat.gene.com
35.227.219.74:443,cmg-preview.gene.com|www.cmg-preview.gene.com
35.232.107.162:443,sitealliance.gene.com|www.sitealliance.gene.com
35.232.244.66:443,ecd.gene.com
35.238.132.90:443,ecd.gene.com
35.239.199.92:443,mx.gene.com|www.mx.gene.com
35.244.215.84:443,sitealliance.gene.com
35.247.124.108:443,apstableauuat.gene.com
104.154.189.153:443,gcast.gene.com|www.gcast.gene.com
104.154.251.73:443,mx-uat.gene.com
104.197.126.171:443,sitealliance.gene.com|www.sitealliance.gene.com20.186.38.152:443,securereader.gene.com|egress.gene.com|www.egress.gene.com|www.securereader.gene.com
52.251.36.236:443,securereader.gene.com|egress.gene.com|www.egress.gene.com|www.securereader.gene.com
