IP Address,Common Name
52.80.18.82:443,www.roche-diagnostics.cn
52.80.139.115:443,www.roche-diagnostics.cn40.73.92.230:443,healthc-bmr.roche-diagnostics.cn
40.73.68.133:443,lightview.roche-diagnostics.cn
42.159.180.158:443,remoteservice-gas1.roche-diagnostics.cn
42.159.180.176:443,remoteservice-gas3.roche-diagnostics.cn
42.159.180.159:443,remoteservice-gas2.roche-diagnostics.cn
52.130.86.149:443,rsp-test.roche-diagnostics.cn
52.131.247.13:443,healthc-bmr-test.roche-diagnostics.cn|www.healthc-bmr-test.roche-diagnostics.cn
139.217.131.25:443,das.roche-diagnostics.cn|www.das.roche-diagnostics.cn
139.217.190.218:443,teleservice1.roche-diagnostics.cn
139.219.185.22:443,spip-prd-api.roche-diagnostics.cn|www.spip-prd-api.roche-diagnostics.cn
139.219.194.13:443,spip-tst-api.roche-diagnostics.cn|www.spip-tst-api.roche-diagnostics.cn
