IP Address,Common Name
3.0.5.55:443,*.apis.roche.com|apis.roche.com
3.0.4.155:443,tst-apac.leap.roche.com|www.tst-apac.leap.roche.com
3.0.112.230:443,mcstaging2.orders-apac.roche.com
3.0.159.122:443,apac.leap.roche.com
3.0.208.181:443,dev-apac.leap.roche.com|www.dev-apac.leap.roche.com
3.1.63.221:443,dpa-apac-stg.roche.com
3.1.45.108:443,mcstaging4.orders-apac.roche.com
3.1.215.15:443,tst-apac.leap.roche.com|www.tst-apac.leap.roche.com
3.1.241.84:443,innovisiontogether-uat.roche.com
3.1.230.91:443,mcstaging4.orders-apac.roche.com
3.9.96.18:443,support-dev.roche.com|support-experimental.roche.com|support-jwt.roche.com|support-preprod.roche.com|support-test.roche.com|support.roche.com
3.9.183.36:443,support-dev.roche.com|support-experimental.roche.com|support-jwt.roche.com|support-preprod.roche.com|support-test.roche.com|support.roche.com
3.9.224.163:443,support-dev.roche.com|support-experimental.roche.com|support-jwt.roche.com|support-preprod.roche.com|support-test.roche.com|support.roche.com
3.9.252.48:443,support-dev.roche.com|support-experimental.roche.com|support-jwt.roche.com|support-preprod.roche.com|support-test.roche.com|support.roche.com
3.11.50.234:443,support-dev.roche.com|support-experimental.roche.com|support-jwt.roche.com|support-preprod.roche.com|support-test.roche.com|support.roche.com
3.12.72.213:443,orders-us-test2.roche.com
3.13.205.210:443,mcstaging.roche.com
3.14.178.92:443,orders-us-test2.roche.com
3.33.133.77:443,onecustomer.roche.com|api.onecustomer.roche.com|www.api.onecustomer.roche.com
3.33.233.105:443,onecustomer.roche.com|api.onecustomer.roche.com|www.api.onecustomer.roche.com
3.33.252.120:443,onecustomer-dev.roche.com|api.onecustomer-dev.roche.com|api.onecustomer-test.roche.com|onecustomer-test.roche.com|www.api.onecustomer-dev.roche.com|www.api.onecustomer-test.roche.com|www.onecustomer-dev.roche.com|www.onecustomer-test.roche.com
3.64.44.200:443,demo-leap.roche.com|iisportal-demo.roche.com|myaccess-connect-demo.roche.com|stride-demo.roche.com|www.demo-leap.roche.com|www.iisportal-demo.roche.com
3.64.80.1:443,*.roche.com
3.64.106.246:443,leapx.roche.com|iisportal.roche.com|myaccess-connect.roche.com|stride.roche.com|www.leapx.roche.com
3.64.119.116:443,old3.orders-emea-test2.roche.com
3.64.160.43:443,orders-graprime.roche.com
3.64.168.210:443,nucleus-test.roche.com
3.64.182.174:443,flow.brandbox.roche.com|www.flow.brandbox.roche.com
3.64.199.198:443,data-vault-automation-staging.roche.com
3.65.48.139:443,api-news.roche.com
3.65.59.81:443,*.roche.com
3.65.59.149:443,*.roche.com
3.65.105.150:443,marsdev.roche.com
3.65.160.56:443,xtm.dpmsys.roche.com
3.65.161.65:443,qa-cm.leap.roche.com|www.qa-cm.leap.roche.com
3.65.163.204:443,tavero-wp-dev.roche.com
3.66.61.116:443,data-vault-automation-staging.roche.com
3.66.66.168:443,*.roche.com
3.66.94.153:443,orders-graprime-test1.roche.com
3.66.97.214:443,dia-dataiku.roche.com
3.66.101.212:443,api.mobileverification.roche.com
3.66.104.27:443,*.roche.com
3.66.111.143:443,nucleus-test.roche.com
3.66.186.192:443,*.apis.roche.com|apis.roche.com
3.67.15.0:443,qa-content-migration.dpmsys.roche.com
3.67.21.198:443,*.roche.com
3.67.21.176:443,dev-api-news.roche.com
