IP Address,Common Name,Organization,Subject Alternative DNS Name,Subject Alternative IP address
"3.136.128.187","mcstaging.roche.com","Magento Cloud","",""
"3.136.204.235","mcstaging.roche.com","Magento Cloud","",""
"3.136.215.69","mcstaging.roche.com","Magento Cloud","",""
"3.216.200.163","*.pspo.roche.com","PSPO DevSecOps","*.prod.pspo.roche.com|*.dev.pspo.roche.com|*.sbox.pspo.roche.com|*.pspo.roche.com",""
"35.156.51.61","cm.leap.roche.com","","cm.leap.roche.com",""
"35.156.58.216","learningcontentcommunity.roche.com","F. Hoffmann-La Roche Ltd","learningcontentcommunity-tst.roche.com|learningcontentcommunity-dev.roche.com|*.learningcontentcommunity-dev.roche.com|*.learningcontentcommunity-tst.roche.com|*.learningcontentcommunity.roche.com|*.amazonaws.com|*.cloudfront.net|*.*.*.elasticbeanstalk.com|*.eu-central-1.elb.amazonaws.com|d16ojzkv8p3v6g.cloudfront.net|cocpprod-env.eba-gweq7z2w.eu-central-1.elasticbeanstalk.com|awseb-AWSEB-1XWIMFWBU6BTX-1100824665.eu-central-1.elb.amazonaws.com|learningcontentcommunity.roche.com",""
"35.156.72.163","space-health-dashboard.staging.cwp.roche.com","","space-health-dashboard.staging.cwp.roche.com",""
"35.156.109.112","snowmirror-prod.roche.com","","snowmirror-prod.roche.com",""
"35.156.253.201","prod-bundle-center.dpmsys.roche.com","","prod-bundle-center.dpmsys.roche.com",""
"35.157.15.204","hub-cm.leap.roche.com","","hub-cm.leap.roche.com",""
"35.157.55.47","remoteservice.roche.com","F.Hoffmann-La Roche AGF.","remoteservice.roche.com",""
"35.157.78.96","prod-mock.dpmsys.roche.com","","prod-mock.dpmsys.roche.com",""
"35.157.80.141","dev-api-news.roche.com","","dev-api-news.roche.com",""
"35.157.110.248","qa-content-migration.dpmsys.roche.com","","qa-content-migration.dpmsys.roche.com",""
"35.157.129.30","api-uat-home.roche.com","","api-uat-home.roche.com|api-uat-home.roche.net",""
"35.157.160.15","serviceanalytics-dev.dialog.roche.com","","serviceanalytics-dev.dialog.roche.com",""
"35.157.176.79","orders-graprime.roche.com","Magento Cloud","",""
"35.157.179.237","serviceanalytics-testspt.dialog.roche.com","","serviceanalytics-testspt.dialog.roche.com",""
"35.157.205.103","dark-crisis-status.cwp.roche.com","","dark-crisis-status.cwp.roche.com",""
"35.157.209.28","qa-leap.roche.com","","qa-leap.roche.com|iisportal-qa.roche.com|myaccess-connect-qa.roche.com|stride-qa.roche.com|www.qa-leap.roche.com",""
"35.157.252.151","data-vault-automation.roche.com","","data-vault-automation.roche.com",""
"35.158.23.242","test-api-news.roche.com","","test-api-news.roche.com",""
"35.158.52.189","dim-poc.aws.cloud.roche.com","","dim-poc.aws.cloud.roche.com",""
"35.158.202.14","serviceanalytics-dev.dialog.roche.com","","serviceanalytics-dev.dialog.roche.com",""
"35.158.215.208","nucleus-test.roche.com","Roche","nucleus-test.roche.com",""
"35.158.234.246","prod-mock.dpmsys.roche.com","","prod-mock.dpmsys.roche.com",""
"54.169.97.147","mcstaging2.orders-apac.roche.com","Magento Cloud","",""
"54.169.114.166","mcstaging3.orders-apac.roche.com","Magento Cloud","",""
"34.200.118.61","qa-nala.leap.roche.com","","qa-nala.leap.roche.com|www.qa-nala.leap.roche.com",""
"34.202.215.103","*.aktana.com","Aktana, Inc.","*.aktana.com|*.roche.com",""
"34.203.160.60","qa-nala.leap.roche.com","","qa-nala.leap.roche.com|www.qa-nala.leap.roche.com",""
"44.213.2.39","gsctrackandtrace.roche.com","","gsctrackandtrace.roche.com|www.gsctrackandtrace.roche.com",""
"18.184.161.43","space-health-dashboard.dev.cwp.roche.com","","space-health-dashboard.dev.cwp.roche.com",""
"18.184.209.223","orders-emea-test1.roche.com","Magento Cloud","",""
"18.184.252.223","dev-leap.roche.com","","dev-leap.roche.com|iisportal-dev.roche.com|myaccess-connect-dev.roche.com|stride-dev.roche.com|www.dev-leap.roche.com|www.iisportal-dev.roche.com",""
"18.185.82.85","api-uat-home.roche.com","","api-uat-home.roche.com|api-uat-home.roche.net",""
"18.185.181.159","test-api-news.roche.com","","test-api-news.roche.com",""
"18.185.217.223","app1.cwp.roche.com","","app1.cwp.roche.com",""
"18.185.243.54","serviceanalytics.dialog.roche.com","","serviceanalytics.dialog.roche.com",""
"18.185.251.221","data-vault-automation-test.roche.com","","data-vault-automation-test.roche.com",""
"54.69.13.78","*.dev.adp.galileo.roche.com","","*.dev.adp.galileo.roche.com|*.adp.dev.adp.galileo.roche.com",""
"18.156.31.169","orders-apac.roche.com","Magento Cloud","",""
"18.156.60.37","orders-graprime-test2.roche.com","Magento Cloud","",""
"18.156.67.238","orders-emea.roche.com","Magento Cloud","",""
"18.156.85.47","orders-emea.roche.com","Magento Cloud","",""
"18.156.131.23","orders-emea-test1.roche.com","Magento Cloud","",""
"18.157.62.79","nucleus.roche.com","Roche","nucleus.roche.com",""
"18.157.93.127","orders-graprime-test1.roche.com","Magento Cloud","",""
"18.157.106.55","orders-apac.roche.com","Magento Cloud","",""
"18.157.118.220","orders-apac.roche.com","Magento Cloud","",""
"18.157.132.235","orders-apac-test2.roche.com","Magento Cloud","",""
"18.157.139.88","orders-apac-test1.roche.com","Magento Cloud","",""
"18.157.151.169","orders-apac-test2.roche.com","Magento Cloud","",""
"18.157.173.123","mock.dpmsys.roche.com","","mock.dpmsys.roche.com",""
"18.157.201.8","orders-emea-test1.roche.com","Magento Cloud","",""
"18.157.204.147","orders-emea-test2.roche.com","Magento Cloud","",""
"18.157.208.92","orders-apac-test2.roche.com","Magento Cloud","",""
"18.157.209.96","orders-emea-test2.roche.com","Magento Cloud","",""
"18.157.234.51","orders-graprime-test2.roche.com","Magento Cloud","",""
"18.157.240.159","orders-apac.roche.com","Magento Cloud","",""
"18.158.3.100","orders-apac-test2.roche.com","Magento Cloud","",""
"18.158.3.121","orders-apac-test1.roche.com","Magento Cloud","",""
"18.158.16.102","lab-cm.leap.roche.com","","lab-cm.leap.roche.com",""
"18.158.16.180","xtm.dpmsys.roche.com","","xtm.dpmsys.roche.com",""
"18.158.22.215","orders-apac-test2.roche.com","Magento Cloud","",""
"18.158.25.166","orders-apac-test1.roche.com","Magento Cloud","",""
"18.158.66.229","codeocean.kamino-dev.roche.com","","codeocean.kamino-dev.roche.com|analytics.codeocean.kamino-dev.roche.com|registry.codeocean.kamino-dev.roche.com",""
"18.158.80.122","orders-graprime.roche.com","Magento Cloud","",""
"18.158.138.1","CloudFlare Origin Certificate","CloudFlare, Inc.","ordering-dev.roche.com|ordering-preprod.roche.com|ordering-test.roche.com|ordering.roche.com",""
"18.158.169.81","globaleln-test.roche.com","","globaleln-test.roche.com|boost.globaleln-test.roche.com",""
"18.158.186.83","CloudFlare Origin Certificate","CloudFlare, Inc.","ordering-dev.roche.com|ordering-preprod.roche.com|ordering-test.roche.com|ordering.roche.com",""
"18.158.206.192","qtt-repository-dev.roche.com","Hoffmann-La Roche","qtt-repository-dev.roche.com",""
"18.159.85.222","nucleus-dev.roche.com","Roche","nucleus-dev.roche.com",""
"18.159.120.9","lb-sb-translations.navify-uat.roche.com","","lb-sb-translations.navify-uat.roche.com",""
"54.179.70.144","mcstaging.orders-apac.roche.com","Magento Cloud","",""
"54.179.132.193","mcstaging3.orders-apac.roche.com","Magento Cloud","",""
"54.179.194.119","mcstaging.orders-apac.roche.com","Magento Cloud","",""
"54.179.198.6","demo-apac.leap.roche.com","","demo-apac.leap.roche.com|www.demo-apac.leap.roche.com",""
"18.214.112.43","*.pspo.roche.com","Security Tools and Automation","*.prod.pspo.roche.com|*.dev.pspo.roche.com|*.sbox.pspo.roche.com|*.staging.pspo.roche.com|*.qa.pspo.roche.com|*.uat.pspo.roche.com|*.preprod.pspo.roche.com|*.pspo.roche.com",""
"34.208.130.192","*.dev.adp.galileo.roche.com","","*.dev.adp.galileo.roche.com|*.adp.dev.adp.galileo.roche.com",""
"34.210.162.174","api-cmg-oasis-prod-deepsense-v2.roche.com","","api-cmg-oasis-prod-deepsense-v2.roche.com",""
"34.211.21.201","api-cmg-oasis-dev-deepsense-v2.roche.com","","api-cmg-oasis-dev-deepsense-v2.roche.com",""
"52.29.75.164","orders-emea.roche.com","Magento Cloud","",""
"52.29.78.220","snowmirror-prod.roche.com","","snowmirror-prod.roche.com",""
"52.29.132.96","facade.tnt-uat.roche.com","","facade.tnt-uat.roche.com",""
"52.29.181.61","datamesh-design-studio.roche.com","","datamesh-design-studio.roche.com",""
"52.29.228.41","api-home.roche.net","","api-home.roche.net|api-home.roche.com",""
"52.29.234.89","orders-emea-test2.roche.com","Magento Cloud","",""
"71.132.18.218","sol-aws-cn-dev-04.asia.roche.com","","mr-rn3ujnhm7of.messaging.solace.cloud|sol-aws-cn-dev-04.asia.roche.com|sol-aws-cn-dev-04.roche.com.cn",""
"71.132.35.223","*.roche.com.cn","Roche (China) Holding Ltd","",""
"71.132.58.187","sol-aws-cn-dev-02.asia.roche.com","","sol-aws-cn-dev-02.asia.roche.com|mr-izppiir0ycg.messaging.solace.cloud|sol-aws-cn-dev-02.roche.com.cn",""
"52.24.59.18","api-cmg-oasis-qa-deepsense-v2.roche.com","","api-cmg-oasis-qa-deepsense-v2.roche.com",""
"52.25.73.125","*.dev.adp.galileo.roche.com","","*.dev.adp.galileo.roche.com|*.adp.dev.adp.galileo.roche.com",""
"52.26.36.54","cmg-oasis-dev-apsweb.roche.com","","cmg-oasis-dev-apsweb.roche.com",""
"52.26.140.129","api-cmg-oasis-dev-deepsense-v2.roche.com","","api-cmg-oasis-dev-deepsense-v2.roche.com",""
"13.59.208.9","test-salescompass.roche.com","Roche Diagnostics","test-salescompass.roche.com",""
